"","geoid10","area","numeric"
"1","17031842400","1968638.23362778",1968638.23362778
"2","17031840300","831225.10350196",831225.10350196
"3","17031841100","1143245.24497646",1143245.24497646
"4","17031841200","625405.828253059",625405.828253059
"5","17031839000","516456.127220011",516456.127220011
"6","17031838200","1157564.13910151",1157564.13910151
"7","17031650301","985552.910635484",985552.910635484
"8","17031530503","1637979.42349779",1637979.42349779
"9","17031760803","760357.474887562",760357.474887562
"10","17031030601","252836.103996852",252836.103996852
"11","17031030604","283748.926765217",283748.926765217
"12","17031020801","655950.324390979",655950.324390979
"13","17031540102","5296525.9115876",5296525.9115876
"14","17031843300","584251.036919221",584251.036919221
"15","17031540101","3866268.07225902",3866268.07225902
"16","17031440201","531537.287106574",531537.287106574
"17","17031080202","155329.109318362",155329.109318362
"18","17031070102","124701.554100658",124701.554100658
"19","17031031501","160448.037338928",160448.037338928
"20","17031031502","161701.940248368",161701.940248368
"21","17031834900","652720.201769417",652720.201769417
"22","17031834800","600481.927104425",600481.927104425
"23","17031160502","310885.048321574",310885.048321574
"24","17031140702","427093.269853084",427093.269853084
"25","17031842000","589975.992959629",589975.992959629
"26","17031150402","662510.817330817",662510.817330817
"27","17031834400","585569.058626247",585569.058626247
"28","17031040201","721411.126847545",721411.126847545
"29","17031040202","588656.011907091",588656.011907091
"30","17031020702","786874.454877299",786874.454877299
"31","17031020802","644014.90839329",644014.90839329
"32","17031020301","825541.85812488",825541.85812488
"33","17031838700","658084.925883815",658084.925883815
"34","17031020601","591326.123399231",591326.123399231
"35","17031841500","432306.386270773",432306.386270773
"36","17031838600","246252.627385253",246252.627385253
"37","17031837300","368499.155800758",368499.155800758
"38","17031020602","492025.079386661",492025.079386661
"39","17031063301","93852.9893659517",93852.9893659517
"40","17031837800","1005500.65899811",1005500.65899811
"41","17031837400","591450.094550726",591450.094550726
"42","17031836900","164714.840441159",164714.840441159
"43","17031020302","639919.370044091",639919.370044091
"44","17031020902","503213.381288773",503213.381288773
"45","17031010701","429679.705512358",429679.705512358
"46","17031030103","187915.551411438",187915.551411438
"47","17031063303","236592.405427592",236592.405427592
"48","17031030102","200459.828774109",200459.828774109
"49","17031010502","180366.670964537",180366.670964537
"50","17031010503","194274.934550327",194274.934550327
"51","17031010702","357548.491456332",357548.491456332
"52","17031837100","745298.027736827",745298.027736827
"53","17031837000","412544.924797864",412544.924797864
"54","17031010201","504471.033647668",504471.033647668
"55","17031020901","486915.211183985",486915.211183985
"56","17031040401","385796.639200969",385796.639200969
"57","17031210602","380700.751506716",380700.751506716
"58","17031160501","345246.376953886",345246.376953886
"59","17031191302","631189.903063009",631189.903063009
"60","17031190602","621353.179989469",621353.179989469
"61","17031840200","831093.653897179",831093.653897179
"62","17031530501","1296491.83153333",1296491.83153333
"63","17031020701","591392.872858573",591392.872858573
"64","17031831400","2104284.66789687",2104284.66789687
"65","17031831300","576172.990070432",576172.990070432
"66","17031010501","202152.072127893",202152.072127893
"67","17031833000","1312664.56673669",1312664.56673669
"68","17031760801","1300579.86191585",1300579.86191585
"69","17031252101","850097.57510399",850097.57510399
"70","17031252102","668485.628225324",668485.628225324
"71","17031252202","637446.888722692",637446.888722692
"72","17031220601","189119.501632278",189119.501632278
"73","17031210502","345944.978145211",345944.978145211
"74","17031220602","464796.43666939",464796.43666939
"75","17031220901","293285.84278563",293285.84278563
"76","17031220902","330305.138051587",330305.138051587
"77","17031200401","402814.278770331",402814.278770331
"78","17031200402","386204.269135748",386204.269135748
"79","17031191301","674993.207562009",674993.207562009
"80","17031190601","690031.1242549",690031.1242549
"81","17031190701","277867.955958682",277867.955958682
"82","17031190702","383492.089067184",383492.089067184
"83","17031190401","655473.29122294",655473.29122294
"84","17031190402","653980.192885632",653980.192885632
"85","17031832100","222084.734732913",222084.734732913
"86","17031843800","1309513.88399328",1309513.88399328
"87","17031842800","1516561.72303992",1516561.72303992
"88","17031351500","168878.982888187",168878.982888187
"89","17031980100","2961318.16254178",2961318.16254178
"90","17031833300","477828.046558357",477828.046558357
"91","17031832900","401289.492126541",401289.492126541
"92","17031838000","537837.159235475",537837.159235475
"93","17031838100","822114.089580918",822114.089580918
"94","17031030706","581936.235291388",581936.235291388
"95","17031381500","108676.116970196",108676.116970196
"96","17031833100","922172.601890482",922172.601890482
"97","17031839100","1186062.8668696",1186062.8668696
"98","17031081201","185123.148190625",185123.148190625
"99","17031150401","738023.71597996",738023.71597996
"100","17031150501","698785.866927604",698785.866927604
"101","17031843000","1065156.72128386",1065156.72128386
"102","17031842900","2208286.36127168",2208286.36127168
"103","17031842100","2034640.42666307",2034640.42666307
"104","17031841900","2564977.51038621",2564977.51038621
"105","17031080201","135302.921212049",135302.921212049
"106","17031070101","1197874.29055308",1197874.29055308
"107","17031081202","735030.005338409",735030.005338409
"108","17031040402","602582.719172469",602582.719172469
"109","17031220702","575194.778524855",575194.778524855
"110","17031140301","164127.410800408",164127.410800408
"111","17031842200","1565695.36982563",1565695.36982563
"112","17031843700","1263069.50682098",1263069.50682098
"113","17031835000","1004078.04879376",1004078.04879376
"114","17031842300","1872231.86314426",1872231.86314426
"115","17031230200","210189.950123355",210189.950123355
"116","17031835100","1003889.38980946",1003889.38980946
"117","17031834700","657991.937264584",657991.937264584
"118","17031151001","330132.630163955",330132.630163955
"119","17031151002","637150.741745318",637150.741745318
"120","17031160602","518378.284572601",518378.284572601
"121","17031140601","272125.270992313",272125.270992313
"122","17031140701","228325.867484261",228325.867484261
"123","17031140602","384381.921978779",384381.921978779
"124","17031390500","326518.041889561",326518.041889561
"125","17031841800","1643117.34140211",1643117.34140211
"126","17031842500","1075342.40427123",1075342.40427123
"127","17031842600","3679424.32132855",3679424.32132855
"128","17031843500","2032655.01863011",2032655.01863011
"129","17031843400","656155.327159085",656155.327159085
"130","17031140302","421893.259511902",421893.259511902
"131","17031110501","791607.513104907",791607.513104907
"132","17031390400","326307.502638927",326307.502638927
"133","17031843200","3162059.99058157",3162059.99058157
"134","17031840800","328680.962947369",328680.962947369
"135","17031110502","649188.602819636",649188.602819636
"136","17031760802","6213668.59477225",6213668.59477225
"137","17031150502","684581.187064384",684581.187064384
"138","17031843100","1012677.92386056",1012677.92386056
"139","17031834300","1909305.22817896",1909305.22817896
"140","17031843900","2211632.37342004",2211632.37342004
"141","17031831200","574946.193971231",574946.193971231
"142","17031831600","1488842.11745382",1488842.11745382
"143","17031831500","968250.15216688",968250.15216688
"144","17031831100","1315153.73783458",1315153.73783458
"145","17031831700","532281.011426386",532281.011426386
"146","17031271500","162820.103641191",162820.103641191
"147","17031440202","781698.617554829",781698.617554829
"148","17031440102","627504.361489349",627504.361489349
"149","17031430102","999262.389555299",999262.389555299
"150","17031030702","8298.57540814266",8298.57540814266
"151","17031030603","115999.766584342",115999.766584342
"152","17031030701","69877.3605144406",69877.3605144406
"153","17031836300","137520.139043409",137520.139043409
"154","17031838300","348133.527490837",348133.527490837
"155","17031839800","266174.036867461",266174.036867461
"156","17031836600","634176.581943783",634176.581943783
"157","17031730202","876170.065412008",876170.065412008
"158","17031430101","329505.058960901",329505.058960901
"159","17031063302","121199.408126431",121199.408126431
"160","17031836200","813725.188300685",813725.188300685
"161","17031071400","1323872.52442927",1323872.52442927
"162","17031840100","335805.531276576",335805.531276576
"163","17031580502","494418.260289159",494418.260289159
"164","17031841400","238636.923260233",238636.923260233
"165","17031081401","279854.868364547",279854.868364547
"166","17031081403","1819090.99032226",1819090.99032226
"167","17031030703","198287.94990389",198287.94990389
"168","17031836000","505740.347754769",505740.347754769
"169","17031835800","284424.350794289",284424.350794289
"170","17031835900","647443.381266741",647443.381266741
"171","17031834500","464133.83368105",464133.83368105
"172","17031843600","410893.121554239",410893.121554239
"173","17031580501","492118.123699984",492118.123699984
"174","17031834600","1562236.36267058",1562236.36267058
"175","17031831800","1903566.66430153",1903566.66430153
"176","17031071600","162133.792783198",162133.792783198
"177","17031832600","721625.196913478",721625.196913478
"178","17031061901","160610.115169364",160610.115169364
"179","17031839900","1179548.248042",1179548.248042
"180","17031030104","181021.954324704",181021.954324704
"181","17031770602","5541130.98133224",5541130.98133224
"182","17031839700","648638.160187114",648638.160187114
"183","17031835200","988536.746035654",988536.746035654
"184","17031833900","706312.597840592",706312.597840592
"185","17031836800","816016.025578705",816016.025578705
"186","17031838800","21640424.4365277",21640424.4365277
"187","17031836700","1227837.39427547",1227837.39427547
"188","17031832200","399384.363173874",399384.363173874
"189","17031252201","386788.245942451",386788.245942451
"190","17031831000","281988.225623588",281988.225623588
"191","17031832400","323051.738226063",323051.738226063
"192","17031070103","69092.4623796984",69092.4623796984
"193","17031220701","266384.411677677",266384.411677677
"194","17031841600","159366.72083301",159366.72083301
"195","17031770902","1164794.56457014",1164794.56457014
"196","17031660301","163781.632728084",163781.632728084
"197","17031660302","491838.727864604",491838.727864604
"198","17031301802","345010.467278361",345010.467278361
"199","17031834000","988762.668097118",988762.668097118
"200","17031834200","975448.480725992",975448.480725992
"201","17031730201","999818.841262875",999818.841262875
"202","17031835500","914489.612842758",914489.612842758
"203","17031839500","262519.66498518",262519.66498518
"204","17031839200","650885.374822141",650885.374822141
"205","17031530502","807964.810702122",807964.810702122
"206","17031840400","982644.23458713",982644.23458713
"207","17031841000","1353146.73986171",1353146.73986171
"208","17031030101","238051.724477154",238051.724477154
"209","17031700302","1319647.27823972",1319647.27823972
"210","17031700402","1148946.32706948",1148946.32706948
"211","17031700401","1482527.40593687",1482527.40593687
"212","17031830500","4113598.56552001",4113598.56552001
"213","17031841700","266796.831152169",266796.831152169
"214","17031640100","325922.231350976",325922.231350976
"215","17031840700","541527.194984451",541527.194984451
"216","17031841300","1410350.20665507",1410350.20665507
"217","17031301801","694637.74200648",694637.74200648
"218","17031060800","247373.730067358",247373.730067358
"219","17031832300","840150.290995736",840150.290995736
"220","17031832500","783012.967377176",783012.967377176
"221","17031832000","167584.90423755",167584.90423755
"222","17031160601","397111.943345065",397111.943345065
"223","17031210501","313077.450987503",313077.450987503
"224","17031210601","273653.714456375",273653.714456375
"225","17031081300","202658.963447373",202658.963447373
"226","17031700502","1722969.25851559",1722969.25851559
"227","17031836100","860471.704211961",860471.704211961
"228","17031835700","190189.447217058",190189.447217058
"229","17031061100","173035.50713746",173035.50713746
"230","17031836400","1666110.34580979",1666110.34580979
"231","17031836500","940474.780083007",940474.780083007
"232","17031839600","326898.411559727",326898.411559727
"233","17031840000","591627.480739605",591627.480739605
"234","17031835600","917536.237553087",917536.237553087
"235","17031830800","336534.191792907",336534.191792907
"236","17031460301","485921.192857598",485921.192857598
"237","17031301701","330772.97986771",330772.97986771
"238","17031310400","124462.683202188",124462.683202188
"239","17031530100","649936.522748872",649936.522748872
"240","17031081100","102349.295223639",102349.295223639
"241","17031150700","662401.92315126",662401.92315126
"242","17031301702","330991.047507615",330991.047507615
"243","17031700301","1275710.79187092",1275710.79187092
"244","17031490902","1196068.33929939",1196068.33929939
"245","17031061800","82841.7229285876",82841.7229285876
"246","17031490901","845441.02103228",845441.02103228
"247","17031650302","661844.164952102",661844.164952102
"248","17031831900","324324.255126707",324324.255126707
"249","17031830600","661391.723898321",661391.723898321
"250","17031830900","1037684.69506393",1037684.69506393
"251","17031830700","868895.211334797",868895.211334797
"252","17031300900","327300.044144135",327300.044144135
"253","17031700501","1670354.81015011",1670354.81015011
"254","17031460302","648525.913596154",648525.913596154
"255","17031431302","437420.995182294",437420.995182294
"256","17031222900","218386.059162919",218386.059162919
"257","17031431301","404076.129658098",404076.129658098
"258","17031440101","382675.432976463",382675.432976463
"259","17031301803","351051.71167552",351051.71167552
"260","17031310200","320481.769373366",320481.769373366
"261","17031310300","318219.604065509",318219.604065509
"262","17031310500","163307.216597813",163307.216597813
"263","17031510300","2957010.31531113",2957010.31531113
"264","17031491400","829877.283321753",829877.283321753
"265","17031500200","2044082.15516919",2044082.15516919
"266","17031530200","1297345.75529521",1297345.75529521
"267","17031740100","891332.524669522",891332.524669522
"268","17031140500","452820.148205082",452820.148205082
"269","17031140800","724393.486856544",724393.486856544
"270","17031301100","212133.23810492",212133.23810492
"271","17031150200","1326771.74415859",1326771.74415859
"272","17031150300","1326521.48234357",1326521.48234357
"273","17031301200","482202.902147944",482202.902147944
"274","17031740400","2838802.70676486",2838802.70676486
"275","17031020400","555411.528333061",555411.528333061
"276","17031640300","1324650.60076429",1324650.60076429
"277","17031640600","659754.928711995",659754.928711995
"278","17031010400","1151361.22460054",1151361.22460054
"279","17031071800","323368.048165891",323368.048165891
"280","17031160300","426170.409098867",426170.409098867
"281","17031310700","160036.152078858",160036.152078858
"282","17031071500","1618624.06225951",1618624.06225951
"283","17031071700","159949.228382769",159949.228382769
"284","17031671200","244920.252477204",244920.252477204
"285","17031670500","622493.052386711",622493.052386711
"286","17031670600","327033.760153216",327033.760153216
"287","17031670700","326728.196943691",326728.196943691
"288","17031670800","326299.340288914",326299.340288914
"289","17031670900","326288.961772588",326288.961772588
"290","17031671100","245620.242690989",245620.242690989
"291","17031671300","484660.231274414",484660.231274414
"292","17031671400","495625.066731086",495625.066731086
"293","17031671500","741164.357326556",741164.357326556
"294","17031671600","407250.933483695",407250.933483695
"295","17031670100","326894.659309817",326894.659309817
"296","17031230500","517113.467283678",517113.467283678
"297","17031230600","1020378.75159023",1020378.75159023
"298","17031240600","162941.179094584",162941.179094584
"299","17031241000","210165.553868168",210165.553868168
"300","17031191000","434312.312013409",434312.312013409
"301","17031080300","361488.568017883",361488.568017883
"302","17031300800","325846.674581296",325846.674581296
"303","17031650200","990903.604339059",990903.604339059
"304","17031660500","659357.438045868",659357.438045868
"305","17031221400","355032.543331728",355032.543331728
"306","17031161000","426501.443418198",426501.443418198
"307","17031340600","472400.322399077",472400.322399077
"308","17031240500","233368.988521742",233368.988521742
"309","17031240700","163219.331697369",163219.331697369
"310","17031240800","165946.05491088",165946.05491088
"311","17031240900","1005122.76687217",1005122.76687217
"312","17031241100","333254.857376883",333254.857376883
"313","17031190300","660302.612297712",660302.612297712
"314","17031190800","661317.859359904",661317.859359904
"315","17031190900","314637.004512278",314637.004512278
"316","17031191100","822427.596595243",822427.596595243
"317","17031191200","705575.080371976",705575.080371976
"318","17031080100","265777.850745844",265777.850745844
"319","17031080400","327344.242761912",327344.242761912
"320","17031081000","298824.305103421",298824.305103421
"321","17031150600","656191.437005962",656191.437005962
"322","17031301600","329515.99337925",329515.99337925
"323","17031020500","771659.192394993",771659.192394993
"324","17031821402","1786651.77756137",1786651.77756137
"325","17031750300","661766.435374598",661766.435374598
"326","17031640800","326704.518291769",326704.518291769
"327","17031750100","1285532.58584498",1285532.58584498
"328","17031740200","1966293.64834967",1966293.64834967
"329","17031650400","1098629.93868468",1098629.93868468
"330","17031650500","3241742.95464106",3241742.95464106
"331","17031660600","658609.473247839",658609.473247839
"332","17031221100","440041.291155084",440041.291155084
"333","17031221300","330106.831541062",330106.831541062
"334","17031221500","304901.748715896",304901.748715896
"335","17031020100","411311.371215341",411311.371215341
"336","17031221600","327910.312026961",327910.312026961
"337","17031160800","657627.59745786",657627.59745786
"338","17031160900","657732.349764173",657732.349764173
"339","17031222800","111384.668795723",111384.668795723
"340","17031161100","576341.193365683",576341.193365683
"341","17031161200","517850.136438568",517850.136438568
"342","17031161300","497595.905863003",497595.905863003
"343","17031650100","673591.056389793",673591.056389793
"344","17031330200","790503.692261637",790503.692261637
"345","17031420600","243605.521843576",243605.521843576
"346","17031420700","650528.02799788",650528.02799788
"347","17031661000","1118645.02739934",1118645.02739934
"348","17031823304","3557489.96437254",3557489.96437254
"349","17031010100","381062.510521983",381062.510521983
"350","17031230300","104633.276491439",104633.276491439
"351","17031640400","1334945.74366836",1334945.74366836
"352","17031640500","661915.135116704",661915.135116704
"353","17031640700","657152.164275971",657152.164275971
"354","17031151200","655585.536781422",655585.536781422
"355","17031310800","332782.279353924",332782.279353924
"356","17031660400","645647.453822352",645647.453822352
"357","17031670400","326420.360920283",326420.360920283
"358","17031340400","290254.68106105",290254.68106105
"359","17031420800","347600.979194532",347600.979194532
"360","17031421200","328220.438461434",328220.438461434
"361","17031661100","1299748.4124383",1299748.4124383
"362","17031222500","158413.339797339",158413.339797339
"363","17031190200","660109.107766805",660109.107766805
"364","17031390600","324629.906817942",324629.906817942
"365","17031010300","472019.165133121",472019.165133121
"366","17031010600","494954.476492808",494954.476492808
"367","17031020200","1241962.6290722",1241962.6290722
"368","17031150800","661046.077749282",661046.077749282
"369","17031151100","660843.546568286",660843.546568286
"370","17031230100","164481.702870046",164481.702870046
"371","17031160100","593563.952088637",593563.952088637
"372","17031160200","957665.512896136",957665.512896136
"373","17031160400","657337.349163342",657337.349163342
"374","17031310600","543017.569062645",543017.569062645
"375","17031310900","484909.757602157",484909.757602157
"376","17031320400","1459273.62146912",1459273.62146912
"377","17031061500","162911.036094117",162911.036094117
"378","17031320600","1158440.50737613",1158440.50737613
"379","17031740300","1320728.96052855",1320728.96052855
"380","17031660700","480682.15860178",480682.15860178
"381","17031222700","226171.498426659",226171.498426659
"382","17031221200","330424.882355129",330424.882355129
"383","17031160700","794343.992237185",794343.992237185
"384","17031222200","231071.547627136",231071.547627136
"385","17031340500","435448.152803733",435448.152803733
"386","17031330100","3622939.47087969",3622939.47087969
"387","17031340300","213698.230134648",213698.230134648
"388","17031350400","201453.514373186",201453.514373186
"389","17031750500","2636337.42081474",2636337.42081474
"390","17031750400","995560.149608002",995560.149608002
"391","17031750200","1310962.3876593",1310962.3876593
"392","17031430200","666843.994671654",666843.994671654
"393","17031660800","655388.287154033",655388.287154033
"394","17031660900","1972992.52409325",1972992.52409325
"395","17031670200","326542.570244812",326542.570244812
"396","17031670300","326330.173714093",326330.173714093
"397","17031222600","160601.658279075",160601.658279075
"398","17031230400","334578.856296527",334578.856296527
"399","17031170400","769030.342069202",769030.342069202
"400","17031380700","244481.588468109",244481.588468109
"401","17031381900","172692.034676003",172692.034676003
